"Model","Variable","Dependent","ImportanceScaled","ImportanceRaw"
"Neural Networks","cmpgame2","likeskl",17.2126251972369,0.232405746912285
"Neural Networks","shops2","likeskl",8.92233309691049,0.130185121579724
"Neural Networks","mags2","likeskl",9.03459327424181,0.131569307491135
"Neural Networks","books2","likeskl",20.6098651313,0.274294257746663
"Neural Networks","wsport2","likeskl",8.29985535274552,0.122509871601302
"Neural Networks","dsport2","likeskl",6.69040051387846,0.102665036451642
"Neural Networks","cinema2","likeskl",19.5864047979895,0.261674828417997
"Neural Networks","street2","likeskl",11.8886641959585,0.166760457673874
"Neural Networks","hobby2","likeskl",6.06946990878536,0.0950088629450118
"Neural Networks","frhouse2","likeskl",12.827136817708,0.178331974948753
"Neural Networks","concert2","likeskl",16.1381325963103,0.21915708157544
"Neural Networks","publib2","likeskl",20.2347281844352,0.269668759292591
"Neural Networks","museum2","likeskl",13.8961688245699,0.191513310288873
"Neural Networks","theatre2","likeskl",13.9230018808522,0.191844166157348
"Neural Networks","church2","likeskl",13.4615497166781,0.186154387291644
"Neural Networks","volwork2","likeskl",8.94936076158799,0.130518377000785
"Neural Networks","nothin2","likeskl",16.6789980917331,0.225826039495601
"Neural Networks","withfrev2","likeskl",27.1720014482325,0.355206446330217
"Neural Networks","ssomatic","likeskl",22.9280457908342,0.302877795429504
"Neural Networks","safraid","likeskl",36.6865695096319,0.472522589746583
"Neural Networks","stantrum","likeskl",64.8755376265815,0.820097067644746
"Neural Networks","sobeys","likeskl",11.0831678787061,0.156828559466165
"Neural Networks","sfights","likeskl",9.20609373964671,0.133683935613566
"Neural Networks","slies","likeskl",32.9805823660903,0.426827176520752
"Neural Networks","ssteals","likeskl",15.8389886556506,0.215468589021904
"Neural Networks","sreflect","likeskl",20.3999551630857,0.271706034321633
"Neural Networks","sattends","likeskl",23.3023749877383,0.307493334197585
"Neural Networks","sloner","likeskl",21.5174898869659,0.285485415907162
"Neural Networks","sfriend","likeskl",11.2704397127364,0.159137651082008
"Neural Networks","spopular","likeskl",37.5293824049427,0.4829146073202
"Neural Networks","sbullied","likeskl",22.6637868670745,0.29961944070454
"Neural Networks","soldbest","likeskl",18.6882953670941,0.250600995731259
"Neural Networks","sshares","likeskl",40.9139838915465,0.524647284079386
"Neural Networks","skind","likeskl",51.0269204968113,0.649341407184894
"Neural Networks","shelpout","likeskl",27.0048285781554,0.353145178149178
"Neural Networks","emotion1","likeskl",44.4973191153814,0.568830379551038
"Neural Networks","hyper1","likeskl",23.8763079481833,0.314570019241451
"Neural Networks","prosoc1","likeskl",23.221479057105,0.306495874455983
"Neural Networks","emotion2","likeskl",18.2609346050139,0.245331569296849
"Neural Networks","conduct2","likeskl",27.8629521508664,0.363725978819841
"Neural Networks","hyper2","likeskl",23.0507920562531,0.304391276481379
"Neural Networks","peer2","likeskl",21.4098963055045,0.284158769867957
"Neural Networks","prosoc2","likeskl",26.1550288491532,0.342667011800537
"Neural Networks","SDQscore2","likeskl",35.3488623142266,0.456028446431558
"Neural Networks","smokstat3","likeskl",47.4784370160733,0.60558803927051
